-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2020 
Location: Latitude  47.6155   Longitude -122.2917 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 110.01 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_LW_DWN       CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_UVA,1984,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UVA,1985,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UVA,1986,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UVA,1987,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UVA,1988,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UVA,1989,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UVA,1990,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UVA,1991,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UVA,1992,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UVA,1993,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UVA,1994,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UVA,1995,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UVA,1996,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UVA,1997,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UVA,1998,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UVA,1999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UVA,2000,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UVA,2001,2.55,5.23,7.2,9.87,14.3,14.22,15.41,12.63,9.82,5.2,2.62,1.92,8.43
ALLSKY_SFC_UVA,2002,2.19,4.68,6.55,10.33,12.53,15.27,15.73,14.27,10.31,6.02,3.05,1.73,8.58
ALLSKY_SFC_UVA,2003,2.46,4.88,6.7,9.48,12.92,15.54,17.4,14.18,10.16,5.11,3.03,1.78,8.66
ALLSKY_SFC_UVA,2004,2.24,4.41,7.36,12.38,11.97,16.12,15.99,13.0,9.04,5.51,2.91,1.94,8.58
ALLSKY_SFC_UVA,2005,2.48,5.72,7.52,10.12,12.6,13.49,16.02,14.31,10.12,4.94,2.63,1.97,8.51
ALLSKY_SFC_UVA,2006,2.01,4.8,7.16,10.64,13.77,15.08,16.2,14.14,10.4,6.05,2.29,1.9,8.73
ALLSKY_SFC_UVA,2007,2.64,4.04,6.77,10.23,14.18,14.19,15.37,12.77,9.23,5.03,2.96,1.73,8.29
ALLSKY_SFC_UVA,2008,2.55,4.48,6.65,10.02,12.02,13.8,15.51,12.27,10.03,5.36,2.7,1.84,8.11
ALLSKY_SFC_UVA,2009,2.69,4.77,7.1,10.84,14.13,14.96,16.23,12.25,9.98,5.19,2.66,2.28,8.61
ALLSKY_SFC_UVA,2010,2.23,4.55,7.48,9.5,12.27,13.31,16.25,13.18,8.34,5.63,2.65,1.85,8.13
ALLSKY_SFC_UVA,2011,2.27,4.2,6.46,9.52,11.92,13.29,14.6,13.82,9.73,5.12,2.83,2.11,8.01
ALLSKY_SFC_UVA,2012,2.16,4.15,6.7,10.12,13.37,12.54,14.62,13.84,10.75,5.39,2.59,1.59,8.16
ALLSKY_SFC_UVA,2013,2.54,4.1,7.12,9.95,12.95,14.77,17.02,12.8,8.32,5.97,3.0,2.11,8.41
ALLSKY_SFC_UVA,2014,2.53,4.34,7.13,10.7,13.22,14.71,16.62,13.47,9.88,5.3,3.07,2.12,8.62
ALLSKY_SFC_UVA,2015,2.67,4.64,7.68,11.29,13.48,17.5,16.34,13.34,9.45,5.17,2.98,1.62,8.87
ALLSKY_SFC_UVA,2016,2.47,4.23,7.07,11.45,13.47,15.35,14.53,14.1,9.82,4.46,2.66,2.05,8.48
ALLSKY_SFC_UVA,2017,2.81,4.22,6.13,9.37,13.88,15.09,17.62,13.92,8.91,5.99,2.32,2.16,8.56
ALLSKY_SFC_UVA,2018,2.19,4.62,7.55,9.35,14.42,14.23,17.1,12.33,9.66,5.73,3.01,1.93,8.54
ALLSKY_SFC_UVA,2019,2.72,4.27,8.66,10.02,13.78,15.56,14.01,13.0,8.29,5.81,3.41,1.68,8.46
ALLSKY_SFC_UVA,2020,2.04,4.63,7.7,11.56,13.15,14.61,15.61,14.45,8.38,5.71,2.73,2.01,8.56
ALLSKY_SFC_UVB,1984,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UVB,1985,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UVB,1986,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UVB,1987,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UVB,1988,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UVB,1989,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UVB,1990,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UVB,1991,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UVB,1992,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UVB,1993,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UVB,1994,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UVB,1995,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UVB,1996,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UVB,1997,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UVB,1998,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UVB,1999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UVB,2000,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UVB,2001,0.02,0.05,0.11,0.16,0.29,0.29,0.34,0.27,0.2,0.09,0.03,0.02,0.16
ALLSKY_SFC_UVB,2002,0.02,0.05,0.1,0.18,0.24,0.32,0.36,0.3,0.2,0.09,0.03,0.01,0.16
ALLSKY_SFC_UVB,2003,0.02,0.04,0.09,0.16,0.25,0.34,0.4,0.3,0.2,0.09,0.03,0.01,0.16
ALLSKY_SFC_UVB,2004,0.02,0.05,0.12,0.22,0.23,0.34,0.36,0.28,0.16,0.09,0.03,0.02,0.16
ALLSKY_SFC_UVB,2005,0.02,0.05,0.1,0.18,0.26,0.27,0.36,0.3,0.19,0.08,0.02,0.02,0.16
ALLSKY_SFC_UVB,2006,0.02,0.05,0.09,0.19,0.28,0.33,0.37,0.29,0.2,0.09,0.02,0.02,0.16
ALLSKY_SFC_UVB,2007,0.02,0.04,0.1,0.18,0.29,0.3,0.36,0.27,0.18,0.08,0.03,0.01,0.16
ALLSKY_SFC_UVB,2008,0.02,0.05,0.09,0.16,0.26,0.3,0.35,0.27,0.2,0.09,0.03,0.01,0.15
ALLSKY_SFC_UVB,2009,0.02,0.05,0.1,0.2,0.29,0.33,0.37,0.27,0.2,0.08,0.02,0.02,0.16
ALLSKY_SFC_UVB,2010,0.02,0.04,0.09,0.15,0.22,0.27,0.34,0.27,0.16,0.09,0.03,0.02,0.14
ALLSKY_SFC_UVB,2011,0.02,0.04,0.09,0.16,0.23,0.28,0.32,0.3,0.2,0.08,0.03,0.02,0.15
ALLSKY_SFC_UVB,2012,0.02,0.04,0.09,0.18,0.26,0.27,0.33,0.3,0.21,0.09,0.02,0.01,0.15
ALLSKY_SFC_UVB,2013,0.02,0.05,0.1,0.17,0.25,0.32,0.38,0.27,0.16,0.09,0.03,0.02,0.16
ALLSKY_SFC_UVB,2014,0.02,0.04,0.1,0.19,0.26,0.31,0.38,0.29,0.2,0.09,0.03,0.02,0.16
ALLSKY_SFC_UVB,2015,0.02,0.05,0.12,0.19,0.26,0.38,0.35,0.29,0.17,0.09,0.03,0.01,0.16
ALLSKY_SFC_UVB,2016,0.02,0.05,0.1,0.21,0.26,0.34,0.32,0.3,0.19,0.07,0.03,0.02,0.16
ALLSKY_SFC_UVB,2017,0.02,0.04,0.09,0.16,0.3,0.34,0.41,0.3,0.17,0.09,0.02,0.02,0.16
ALLSKY_SFC_UVB,2018,0.02,0.05,0.09,0.16,0.3,0.3,0.38,0.27,0.19,0.09,0.03,0.02,0.16
ALLSKY_SFC_UVB,2019,0.02,0.04,0.12,0.18,0.27,0.33,0.3,0.28,0.16,0.09,0.03,0.01,0.16
ALLSKY_SFC_UVB,2020,0.01,0.05,0.11,0.2,0.27,0.31,0.34,0.31,0.17,0.09,0.02,0.02,0.16
ALLSKY_SFC_LW_DWN,1984,275.11,292.3,289.51,288.76,302.8,328.2,344.69,351.02,337.7,309.7,286.05,268.23,306.2
ALLSKY_SFC_LW_DWN,1985,276.35,268.85,278.49,291.68,318.95,337.34,355.28,349.84,325.37,305.4,268.82,273.62,304.44
ALLSKY_SFC_LW_DWN,1986,289.86,277.68,293.42,290.7,318.91,340.2,345.82,357.96,341.23,315.36,293.98,280.75,312.39
ALLSKY_SFC_LW_DWN,1987,270.91,277.4,280.86,295.45,317.15,337.9,351.52,347.89,348.01,313.55,299.37,269.95,309.3
ALLSKY_SFC_LW_DWN,1988,268.5,274.47,280.27,303.88,316.75,338.91,355.29,351.3,340.34,325.71,292.89,281.19,310.9
ALLSKY_SFC_LW_DWN,1989,271.73,253.13,281.96,301.07,320.59,339.99,341.94,342.05,325.61,306.84,295.07,283.02,305.57
ALLSKY_SFC_LW_DWN,1990,276.89,273.86,286.88,305.82,312.23,339.66,354.84,353.78,336.95,299.16,287.88,263.54,307.8
ALLSKY_SFC_LW_DWN,1991,271.69,282.95,275.3,287.02,313.17,331.13,351.87,352.54,336.16,311.4,285.74,280.12,306.75
ALLSKY_SFC_LW_DWN,1992,282.85,288.61,288.91,307.94,321.49,349.44,352.93,343.86,323.39,314.34,284.05,268.27,310.56
ALLSKY_SFC_LW_DWN,1993,259.43,264.82,283.11,291.3,331.02,334.39,337.82,346.52,317.13,310.08,267.83,272.57,301.62
ALLSKY_SFC_LW_DWN,1994,282.11,271.26,290.73,303.09,318.27,326.73,343.66,343.75,337.58,294.24,271.9,269.95,304.65
ALLSKY_SFC_LW_DWN,1995,277.8,283.55,278.84,295.16,315.17,339.37,349.66,346.84,341.37,300.74,294.92,276.43,308.42
ALLSKY_SFC_LW_DWN,1996,270.7,270.2,285.22,299.43,304.29,319.4,349.71,352.98,328.59,306.05,286.86,266.8,303.48
ALLSKY_SFC_LW_DWN,1997,269.62,270.66,280.17,291.42,322.67,328.13,340.91,351.27,342.61,314.25,297.13,277.41,307.41
ALLSKY_SFC_LW_DWN,1998,272.24,280.64,283.42,288.43,324.3,335.23,361.2,351.26,337.84,321.69,287.4,275.27,310.12
ALLSKY_SFC_LW_DWN,1999,280.8,273.57,279.29,287.66,303.93,327.85,340.54,354.24,324.68,306.36,296.61,286.47,305.38
ALLSKY_SFC_LW_DWN,2000,270.73,274.48,279.8,297.95,315.14,332.3,343.99,338.42,335.85,313.27,275.99,274.78,304.49
ALLSKY_SFC_LW_DWN,2001,279.68,263.97,286.34,293.69,304.84,324.17,330.59,336.35,319.04,301.3,294.5,276.59,301.15
ALLSKY_SFC_LW_DWN,2002,286.54,273.09,284.16,294.69,309.84,323.1,334.23,325.25,308.24,295.91,289.07,286.48,301.08
ALLSKY_SFC_LW_DWN,2003,285.85,272.52,298.4,302.29,309.87,323.77,323.56,328.33,319.62,316.34,276.41,281.12,303.4
ALLSKY_SFC_LW_DWN,2004,286.55,282.34,292.16,290.31,321.62,325.67,338.56,345.78,323.68,307.03,289.41,287.76,307.71
ALLSKY_SFC_LW_DWN,2005,281.04,254.05,291.5,305.37,324.06,334.84,328.27,327.2,310.02,314.96,289.05,275.07,303.28
ALLSKY_SFC_LW_DWN,2006,292.92,264.6,285.0,293.35,306.67,330.36,337.55,320.7,312.04,298.53,293.63,279.74,301.49
ALLSKY_SFC_LW_DWN,2007,270.11,289.67,297.61,300.23,305.76,326.53,337.69,333.39,320.55,302.44,283.72,282.61,304.27
ALLSKY_SFC_LW_DWN,2008,269.9,283.06,286.59,293.66,323.91,325.72,327.88,340.33,312.02,301.3,299.48,275.02,303.3
ALLSKY_SFC_LW_DWN,2009,273.53,272.46,283.7,291.64,303.58,330.91,334.31,338.26,317.7,304.29,295.79,258.2,300.5
ALLSKY_SFC_LW_DWN,2010,296.61,284.28,285.09,298.57,308.59,330.88,325.52,330.41,333.14,303.19,290.19,282.07,305.8
ALLSKY_SFC_LW_DWN,2011,284.53,274.21,293.1,290.82,308.51,329.98,331.58,330.15,321.57,307.45,281.14,278.43,302.82
ALLSKY_SFC_LW_DWN,2012,280.91,284.23,287.66,302.98,304.89,329.85,342.71,335.38,310.19,306.32,299.5,291.03,306.38
ALLSKY_SFC_LW_DWN,2013,275.55,292.98,291.86,302.51,319.15,334.05,330.41,343.62,338.14,302.42,289.12,272.59,307.73
ALLSKY_SFC_LW_DWN,2014,284.27,279.21,295.45,300.84,318.98,332.12,336.84,341.24,323.83,326.22,281.6,286.55,309.16
ALLSKY_SFC_LW_DWN,2015,288.16,294.47,293.86,293.95,323.95,323.07,338.92,336.52,318.5,322.62,280.11,289.48,308.8
ALLSKY_SFC_LW_DWN,2016,284.7,296.77,297.03,307.8,317.63,327.03,343.31,331.8,317.79,317.62,309.15,273.05,310.33
ALLSKY_SFC_LW_DWN,2017,263.45,281.27,298.55,304.0,316.12,327.54,323.41,336.12,328.55,295.15,304.02,274.14,304.42
ALLSKY_SFC_LW_DWN,2018,297.17,281.38,283.84,303.61,324.22,332.06,333.73,341.71,320.02,302.91,295.0,285.22,308.58
ALLSKY_SFC_LW_DWN,2019,284.66,272.09,271.37,304.67,318.23,327.2,342.09,343.16,336.14,292.05,281.86,296.51,306.04
ALLSKY_SFC_LW_DWN,2020,298.34,281.16,275.37,291.56,313.48,328.56,330.08,323.19,329.39,305.3,288.56,279.74,303.79
ALLSKY_SFC_SW_DWN,1984,1.38,1.77,3.51,4.66,5.56,5.55,6.68,5.5,3.79,2.08,1.17,1.2,3.58
ALLSKY_SFC_SW_DWN,1985,1.47,2.34,3.85,4.7,5.69,6.4,6.91,5.51,3.83,2.15,1.38,1.34,3.81
ALLSKY_SFC_SW_DWN,1986,1.18,2.03,3.26,4.27,4.86,5.84,5.35,5.77,3.57,2.48,1.33,1.0,3.42
ALLSKY_SFC_SW_DWN,1987,1.31,2.17,3.55,5.12,6.0,6.7,5.39,5.73,4.34,3.0,1.32,1.06,3.81
ALLSKY_SFC_SW_DWN,1988,1.32,2.25,3.26,4.1,4.78,5.83,6.2,5.32,4.01,2.08,1.29,1.02,3.46
ALLSKY_SFC_SW_DWN,1989,1.3,2.32,2.82,5.05,5.21,6.18,5.72,5.14,4.62,2.36,1.4,1.11,3.61
ALLSKY_SFC_SW_DWN,1990,1.28,2.2,3.61,4.51,5.31,5.26,6.54,5.25,4.05,2.27,1.27,1.01,3.56
ALLSKY_SFC_SW_DWN,1991,1.46,2.08,3.62,4.82,4.82,5.44,6.26,5.12,4.5,2.78,1.33,1.12,3.62
ALLSKY_SFC_SW_DWN,1992,1.25,2.15,3.98,4.45,6.52,6.06,5.62,5.64,4.14,2.25,1.39,1.13,3.72
ALLSKY_SFC_SW_DWN,1993,1.48,2.41,3.37,4.22,4.97,5.33,4.74,5.05,4.78,2.48,1.76,0.98,3.47
ALLSKY_SFC_SW_DWN,1994,1.42,1.82,3.48,4.29,5.4,5.67,6.68,5.22,4.16,2.62,1.45,1.16,3.62
ALLSKY_SFC_SW_DWN,1995,1.46,2.12,3.4,4.94,6.24,5.86,5.96,4.67,4.02,2.39,1.23,0.98,3.61
ALLSKY_SFC_SW_DWN,1996,1.3,2.13,3.55,3.83,5.17,6.27,6.8,5.46,3.66,2.31,1.34,1.01,3.58
ALLSKY_SFC_SW_DWN,1997,1.38,2.32,3.03,4.72,5.88,6.11,6.7,5.72,3.85,2.25,1.5,1.16,3.73
ALLSKY_SFC_SW_DWN,1998,1.36,2.05,3.39,5.25,5.31,6.19,6.21,6.21,4.85,2.37,1.41,0.99,3.81
ALLSKY_SFC_SW_DWN,1999,0.95,1.77,3.19,5.1,5.96,5.83,6.37,5.26,4.76,2.62,1.29,1.04,3.69
ALLSKY_SFC_SW_DWN,2000,1.33,2.17,3.4,4.94,5.55,6.21,6.06,5.72,3.94,2.47,1.49,1.15,3.7
ALLSKY_SFC_SW_DWN,2001,1.12,2.33,2.9,3.99,5.79,5.43,6.09,5.03,4.04,2.16,1.11,0.89,3.41
ALLSKY_SFC_SW_DWN,2002,0.88,1.97,2.59,4.17,4.94,6.09,6.29,5.87,4.35,2.66,1.37,0.75,3.5
ALLSKY_SFC_SW_DWN,2003,1.08,2.16,2.55,3.66,5.16,6.28,7.09,5.79,4.26,2.13,1.4,0.79,3.54
ALLSKY_SFC_SW_DWN,2004,0.91,1.85,3.03,5.23,4.65,6.46,6.37,5.12,3.63,2.32,1.27,0.85,3.48
ALLSKY_SFC_SW_DWN,2005,1.07,2.68,3.07,3.99,4.89,5.1,6.37,5.86,4.22,1.98,1.14,0.92,3.45
ALLSKY_SFC_SW_DWN,2006,0.81,2.1,2.89,4.3,5.55,5.93,6.39,5.86,4.41,2.64,0.94,0.83,3.56
ALLSKY_SFC_SW_DWN,2007,1.21,1.62,2.59,4.02,5.78,5.54,6.05,5.05,3.76,2.07,1.34,0.75,3.32
ALLSKY_SFC_SW_DWN,2008,1.16,1.87,2.68,4.03,4.65,5.31,6.23,4.83,4.28,2.29,1.16,0.82,3.28
